HTTrack3.49-2+htsswf+htsjava launched on Sat, 25 Feb 2023 17:32:28 at https://www.classcentral.com/ +*.gif +*.jpg +*.jpeg +*.png +*.tif +*.bmp +*.zip +*.tar +*.tgz +*.gz +*.rar +*.z +*.exe +*.mov +*.mpg +*.mpeg +*.avi +*.asf +*.mp3 +*.mp2 +*.rm +*.wav +*.vob +*.qt +*.vid +*.ac3 +*.wma +*.wmv
(winhttrack -qwr2%e0C2%Pns2u1%s%uN0%I0p3DaK0H0%kf2A100000%c2%f0#f -F msie6 -%F  -%l "en, *" https://www.classcentral.com/ -O1 "C:\My Web Sites\class2" +*.gif +*.jpg +*.jpeg +*.png +*.tif +*.bmp +*.zip +*.tar +*.tgz +*.gz +*.rar +*.z +*.exe +*.mov +*.mpg +*.mpeg +*.avi +*.asf +*.mp3 +*.mp2 +*.rm +*.wav +*.vob +*.qt +*.vid +*.ac3 +*.wma +*.wmv )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

17:37:03	Warning: 	HTML file (315129 bytes) retransferred due to lack of cache: https://www.classcentral.com/report/linkedin-learning-free-learning-paths/
17:37:04	Warning: 	HTML file (470 bytes) retransferred due to lack of cache: https://www.classcentral.com/collection/ivy-league-moocs/
17:37:05	Warning: 	HTML file (275669 bytes) retransferred due to lack of cache: https://www.classcentral.com/report/writing-free-online-courses/
17:37:09	Warning: 	HTML file (495818 bytes) retransferred due to lack of cache: https://www.classcentral.com/update-item/
17:37:09	Warning: 	HTML file (495824 bytes) retransferred due to lack of cache: https://www.classcentral.com/delete-item/
17:37:10	Warning: 	HTML file (495838 bytes) retransferred due to lack of cache: https://www.classcentral.com/move-item/
17:37:11	Warning: 	HTML file (495859 bytes) retransferred due to lack of cache: https://www.classcentral.com/maestro/course-reviews/
17:37:14	Warning: 	HTML file (495832 bytes) retransferred due to lack of cache: https://www.classcentral.com/coordinator/
17:37:14	Warning: 	HTML file (495880 bytes) retransferred due to lack of cache: https://www.classcentral.com/s/
17:37:15	Warning: 	HTML file (495841 bytes) retransferred due to lack of cache: https://www.classcentral.com/enrollee-list/update-item-progress/
17:37:31	Error: 	"Too Many Requests" (429) at link https://www.classcentral.com/subject/science (from https://www.classcentral.com/)
17:37:44	Error: 	"Too Many Requests" (429) at link https://www.classcentral.com/subject/social-sciences (from https://www.classcentral.com/)
17:37:44	Error: 	"Too Many Requests" (429) at link https://www.classcentral.com/subject/art-and-design (from https://www.classcentral.com/)
17:37:44	Error: 	"Too Many Requests" (429) at link https://www.classcentral.com/subject/data-science (from https://www.classcentral.com/)
17:38:05	Error: 	"Too Many Requests" (429) at link https://www.classcentral.com/subject/personal-development (from https://www.classcentral.com/)
17:38:05	Error: 	"Too Many Requests" (429) at link https://www.classcentral.com/subject/infosec (from https://www.classcentral.com/)
17:39:25	Warning: 	Retry after error -4 (Interrupted transfer) at link https://www.classcentral.com/report/ (from https://www.classcentral.com/)
17:39:25	Warning: 	HTML file (170174 bytes) retransferred due to lack of cache: https://www.classcentral.com/report/
17:39:37	Warning: 	Retry after error -4 (Interrupted transfer) at link https://www.classcentral.com/report/most-popular-online-courses/ (from https://www.classcentral.com/)
17:39:37	Warning: 	HTML file (198813 bytes) retransferred due to lack of cache: https://www.classcentral.com/report/most-popular-online-courses/
17:39:37	Warning: 	Retry after error -4 (Interrupted transfer) at link https://www.classcentral.com/report/best-free-online-courses-2022/ (from https://www.classcentral.com/)
17:39:37	Warning: 	HTML file (145594 bytes) retransferred due to lack of cache: https://www.classcentral.com/report/best-free-online-courses-2022/
17:39:37	Warning: 	Retry after error -4 (Interrupted transfer) at link https://www.classcentral.com/report/best-free-online-courses-2021/ (from https://www.classcentral.com/)
17:39:37	Warning: 	HTML file (153685 bytes) retransferred due to lack of cache: https://www.classcentral.com/report/best-free-online-courses-2021/
17:39:37	Warning: 	Retry after error -4 (Interrupted transfer) at link https://www.classcentral.com/report/most-popular-courses-2022/ (from https://www.classcentral.com/)
